spieltag,home,away,result
19,1. FC Union Berlin,Borussia Dortmund,-:-
19,Bayer 04 Leverkusen,SV Werder Bremen,-:-
19,Borussia Mönchengladbach,VfB Stuttgart,-:-
19,Eintracht Frankfurt,TSG Hoffenheim,-:-
19,FC Bayern München,1.FC Augsburg,-:-
19,FC St Pauli,Hamburger SV,-:-
19,FSV Mainz 05,VfL Wolfsburg,-:-
19,SC Freiburg,1. FC Köln,-:-
20,1. FC Köln,VfL Wolfsburg,-:-
20,1.FC Augsburg,FC St Pauli,-:-
20,Borussia Dortmund,1. FC Heidenheim,-:-
20,Eintracht Frankfurt,Bayer 04 Leverkusen,-:-
20,Hamburger SV,FC Bayern München,-:-
20,RB Leipzig,FSV Mainz 05,-:-
20,SV Werder Bremen,Borussia Mönchengladbach,-:-
20,TSG Hoffenheim,1. FC Union Berlin,-:-
20,VfB Stuttgart,SC Freiburg,-:-
21,1. FC Heidenheim,Hamburger SV,-:-
21,1. FC Köln,RB Leipzig,-:-
21,1. FC Union Berlin,Eintracht Frankfurt,-:-
21,Borussia Mönchengladbach,Bayer 04 Leverkusen,-:-
21,FC Bayern München,TSG Hoffenheim,-:-
21,FC St Pauli,VfB Stuttgart,-:-
21,FSV Mainz 05,1.FC Augsburg,-:-
21,SC Freiburg,SV Werder Bremen,-:-
21,VfL Wolfsburg,Borussia Dortmund,-:-
22,1.FC Augsburg,1. FC Heidenheim,-:-
22,Bayer 04 Leverkusen,FC St Pauli,-:-
22,Borussia Dortmund,FSV Mainz 05,-:-
22,Eintracht Frankfurt,Borussia Mönchengladbach,-:-
22,Hamburger SV,1. FC Union Berlin,-:-
22,RB Leipzig,VfL Wolfsburg,-:-
22,SV Werder Bremen,FC Bayern München,-:-
22,TSG Hoffenheim,SC Freiburg,-:-
22,VfB Stuttgart,1. FC Köln,-:-
23,1. FC Heidenheim,VfB Stuttgart,-:-
23,1. FC Köln,TSG Hoffenheim,-:-
23,1. FC Union Berlin,Bayer 04 Leverkusen,-:-
23,FC Bayern München,Eintracht Frankfurt,-:-
23,FC St Pauli,SV Werder Bremen,-:-
23,FSV Mainz 05,Hamburger SV,-:-
23,RB Leipzig,Borussia Dortmund,-:-
23,SC Freiburg,Borussia Mönchengladbach,-:-
23,VfL Wolfsburg,1.FC Augsburg,-:-
24,1.FC Augsburg,1. FC Köln,-:-
24,Bayer 04 Leverkusen,FSV Mainz 05,-:-
24,Borussia Dortmund,FC Bayern München,-:-
24,Borussia Mönchengladbach,1. FC Union Berlin,-:-
24,Eintracht Frankfurt,SC Freiburg,-:-
24,Hamburger SV,RB Leipzig,-:-
24,SV Werder Bremen,1. FC Heidenheim,-:-
24,TSG Hoffenheim,FC St Pauli,-:-
24,VfB Stuttgart,VfL Wolfsburg,-:-
25,1. FC Heidenheim,TSG Hoffenheim,-:-
25,1. FC Köln,Borussia Dortmund,-:-
25,1. FC Union Berlin,SV Werder Bremen,-:-
25,FC Bayern München,Borussia Mönchengladbach,-:-
25,FC St Pauli,Eintracht Frankfurt,-:-
25,FSV Mainz 05,VfB Stuttgart,-:-
25,RB Leipzig,1.FC Augsburg,-:-
25,SC Freiburg,Bayer 04 Leverkusen,-:-
25,VfL Wolfsburg,Hamburger SV,-:-
26,Bayer 04 Leverkusen,FC Bayern München,-:-
26,Borussia Dortmund,1.FC Augsburg,-:-
26,Borussia Mönchengladbach,FC St Pauli,-:-
26,Eintracht Frankfurt,1. FC Heidenheim,-:-
26,Hamburger SV,1. FC Köln,-:-
26,SC Freiburg,1. FC Union Berlin,-:-
26,SV Werder Bremen,FSV Mainz 05,-:-
26,TSG Hoffenheim,VfL Wolfsburg,-:-
26,VfB Stuttgart,RB Leipzig,-:-
27,1. FC Heidenheim,Bayer 04 Leverkusen,-:-
27,1. FC Köln,Borussia Mönchengladbach,-:-
27,1.FC Augsburg,VfB Stuttgart,-:-
27,Borussia Dortmund,Hamburger SV,-:-
27,FC Bayern München,1. FC Union Berlin,-:-
27,FC St Pauli,SC Freiburg,-:-
27,FSV Mainz 05,Eintracht Frankfurt,-:-
27,RB Leipzig,TSG Hoffenheim,-:-
27,VfL Wolfsburg,SV Werder Bremen,-:-
28,1. FC Union Berlin,FC St Pauli,-:-
28,Bayer 04 Leverkusen,VfL Wolfsburg,-:-
28,Borussia Mönchengladbach,1. FC Heidenheim,-:-
28,Eintracht Frankfurt,1. FC Köln,-:-
28,Hamburger SV,1.FC Augsburg,-:-
28,SC Freiburg,FC Bayern München,-:-
28,SV Werder Bremen,RB Leipzig,-:-
28,TSG Hoffenheim,FSV Mainz 05,-:-
28,VfB Stuttgart,Borussia Dortmund,-:-
29,1. FC Heidenheim,1. FC Union Berlin,-:-
29,1. FC Köln,SV Werder Bremen,-:-
29,1.FC Augsburg,TSG Hoffenheim,-:-
29,Borussia Dortmund,Bayer 04 Leverkusen,-:-
29,FC St Pauli,FC Bayern München,-:-
29,FSV Mainz 05,SC Freiburg,-:-
29,RB Leipzig,Borussia Mönchengladbach,-:-
29,VfB Stuttgart,Hamburger SV,-:-
29,VfL Wolfsburg,Eintracht Frankfurt,-:-
30,1. FC Union Berlin,VfL Wolfsburg,-:-
30,Bayer 04 Leverkusen,1.FC Augsburg,-:-
30,Borussia Mönchengladbach,FSV Mainz 05,-:-
30,Eintracht Frankfurt,RB Leipzig,-:-
30,FC Bayern München,VfB Stuttgart,-:-
