"Saison","Platz","Verein","Schnitt","Gesamt"
"1963/64","1","VfB Stuttgart","40.400","606.000"
"1963/64","2","Hamburger SV","35.466","532.000"
"1963/64","3","Hertha BSC","35.460","531.900"
"1963/64","4","TSV 1860 München","33.466","502.000"
"1963/64","5","1. FC Köln","33.306","499.600"
"1963/64","6","Karlsruher SC","31.533","473.000"
"1963/64","7","1. FC Nürnberg","29.466","442.000"
"1963/64","8","Meidericher SV","28.066","421.000"
"1963/64","9","Eintracht Frankfurt","26.166","392.500"
"1963/64","10","Borussia Dortmund","23.533","353.000"
"1963/64","11","Preußen Münster","22.600","339.000"
"1963/64","12","FC Schalke 04","22.266","334.000"
"1963/64","13","Eintracht Braunschweig","22.173","332.600"
"1963/64","14","1.FC Kaiserslautern","21.600","324.000"
"1963/64","15","SV Werder Bremen","19.933","299.000"
"1963/64","16","1. FC Saarbrücken","17.600","264.000"
"1964/65","1","Hannover 96","43.160","647.400"
"1964/65","2","Hertha BSC","36.346","545.200"
"1964/65","3","Hamburger SV","36.286","544.300"
"1964/65","4","Karlsruher SC","32.200","483.000"
"1964/65","5","1. FC Köln","31.366","470.500"
"1964/65","6","1. FC Nürnberg","30.533","458.000"
"1964/65","7","VfB Stuttgart","29.933","449.000"
"1964/65","8","TSV 1860 München","28.866","433.000"
"1964/65","9","FC Schalke 04","26.933","404.000"
"1964/65","10","SV Werder Bremen","26.553","398.300"
"1964/65","11","Borussia Dortmund","25.333","380.000"
"1964/65","12","1.FC Kaiserslautern","24.200","363.000"
"1964/65","13","Meidericher SV","22.800","342.000"
"1964/65","14","Eintracht Braunschweig","22.600","339.000"
"1964/65","15","Eintracht Frankfurt","22.033","330.500"
"1964/65","16","Borussia Neunkirchen","21.466","322.000"
"1965/66","1","Hannover 96","32.323","549.500"
"1965/66","2","TSV 1860 München","31.352","533.000"
"1965/66","3","Karlsruher SC","30.411","517.000"
"1965/66","4","FC Schalke 04","28.617","486.500"
"1965/66","5","1. FC Köln","27.705","471.000"
"1965/66","6","Hamburger SV","27.176","462.000"
"1965/66","7","Eintracht Frankfurt","27.117","461.000"
"1965/66","8","1. FC Nürnberg","27.000","459.000"
"1965/66","9","FC Bayern München","26.352","448.000"
"1965/66","10","VfB Stuttgart","26.235","446.000"
"1965/66","11","Borussia Dortmund","25.470","433.000"
"1965/66","12","Borussia Mönchengladbach","24.176","411.000"
"1965/66","13","SV Werder Bremen","21.294","362.000"
"1965/66","14","Meidericher SV","20.294","345.000"
"1965/66","15","1.FC Kaiserslautern","18.411","313.000"
"1965/66","16","Eintracht Braunschweig","17.264","293.500"
"1965/66","17","Tasmania Berlin","17.247","293.200"
"1965/66","18","Borussia Neunkirchen","17.058","290.000"
"1966/67","1","Fortuna Düsseldorf","29.058","494.000"
"1966/67","2","VfB Stuttgart","28.705","488.000"
"1966/67","3","Eintracht Braunschweig","27.647","470.000"
"1966/67","4","Rot-Weiss Essen","27.117","461.000"
"1966/67","5","Eintracht Frankfurt","26.588","452.000"
"1966/67","6","Hamburger SV","26.470","450.000"
"1966/67","7","Borussia Dortmund","26.047","442.800"
"1966/67","8","Karlsruher SC","25.882","440.000"
"1966/67","9","1. FC Köln","25.470","433.000"
"1966/67","10","TSV 1860 München","25.000","425.000"
"1966/67","11","FC Schalke 04","24.647","419.000"
"1966/67","12","Borussia Mönchengladbach","24.235","412.000"
"1966/67","13","1. FC Nürnberg","24.235","412.000"
"1966/67","14","Hannover 96","23.588","401.000"
"1966/67","15","FC Bayern München","22.470","382.000"
"1966/67","16","MSV Duisburg","20.529","349.000"
"1966/67","17","1.FC Kaiserslautern","19.529","332.000"
"1966/67","18","SV Werder Bremen","15.941","271.000"
"1967/68","1","1. FC Nürnberg","40.411","687.000"
"1967/68","2","VfB Stuttgart","25.205","428.500"
"1967/68","3","1. FC Köln","23.647","402.000"
"1967/68","4","Karlsruher SC","22.941","390.000"
"1967/68","5","FC Schalke 04","22.882","389.000"
"1967/68","6","Borussia Mönchengladbach","22.558","383.500"
"1967/68","7","Hannover 96","22.382","380.500"
"1967/68","8","Borussia Dortmund","22.001","374.033"
"1967/68","9","Aachen","21.764","370.000"
"1967/68","10","FC Bayern München","21.558","366.500"
"1967/68","11","SV Werder Bremen","20.588","350.000"
"1967/68","12","Eintracht Frankfurt","20.041","340.700"
"1967/68","13","TSV 1860 München","19.617","333.500"
"1967/68","14","Hamburger SV","19.304","328.174"
"1967/68","15","MSV Duisburg","17.852","303.500"
"1967/68","16","Eintracht Braunschweig","15.088","256.500"
"1967/68","17","1.FC Kaiserslautern","13.676","232.500"
"1967/68","18","Borussia Neunkirchen","10.488","178.300"
"1968/69","1","Hertha BSC","44.529","757.000"
"1968/69","2","1. FC Nürnberg","27.176","462.000"
"1968/69","3","1. FC Köln","24.972","424.528"
"1968/69","4","FC Bayern München","24.852","422.500"
"1968/69","5","FC Schalke 04","23.588","401.000"
"1968/69","6","Borussia Dortmund","23.517","399.800"
"1968/69","7","Hannover 96","22.941","390.000"
"1968/69","8","Kickers Offenbach","22.794","387.500"
"1968/69","9","Hamburger SV","21.594","367.100"
"1968/69","10","VfB Stuttgart","20.735","352.500"
"1968/69","11","Eintracht Frankfurt","20.470","348.000"
"1968/69","12","Borussia Mönchengladbach","20.323","345.500"
"1968/69","13","Aachen","19.176","326.000"
"1968/69","14","SV Werder Bremen","18.411","313.000"
"1968/69","15","MSV Duisburg","17.088","290.500"
"1968/69","16","Eintracht Braunschweig","15.564","264.600"
"1968/69","17","TSV 1860 München","15.029","255.500"
"1968/69","18","1.FC Kaiserslautern","14.294","243.000"
"1969/70","1","Hertha BSC","43.341","736.800"
"1969/70","2","Borussia Mönchengladbach","25.235","429.000"
"1969/70","3","1. FC Köln","24.352","414.000"
"1969/70","4","Hannover 96","23.470","399.000"
"1969/70","5","FC Bayern München","23.264","395.500"
"1969/70","6","VfB Stuttgart","20.941","356.000"
"1969/70","7","Rot-Weiss Essen","20.764","353.000"
"1969/70","8","TSV 1860 München","20.617","350.500"
"1969/70","9","Rot-Weiß Oberhausen","20.470","348.000"
"1969/70","10","FC Schalke 04","20.058","341.000"
"1969/70","11","Borussia Dortmund","19.423","330.200"
"1969/70","12","MSV Duisburg","17.735","301.500"
"1969/70","13","Hamburger SV","17.329","294.600"
"1969/70","14","Eintracht Frankfurt","16.205","275.500"
"1969/70","15","Eintracht Braunschweig","15.093","256.590"
"1969/70","16","1.FC Kaiserslautern","14.882","253.000"
"1969/70","17","SV Werder Bremen","14.470","246.000"
"1969/70","18","Aachen","11.941","203.000"
"1970/71","1","Hertha BSC","45.823","779.000"
"1970/71","2","Arminia Bielefeld","24.894","423.200"
"1970/71","3","FC Bayern München","23.721","403.268"
"1970/71","4","Hannover 96","23.264","395.500"
"1970/71","5","Rot-Weiss Essen","23.117","393.000"
"1970/71","6","Eintracht Frankfurt","21.705","369.000"
"1970/71","7","FC Schalke 04","21.470","365.000"
"1970/71","8","Borussia Mönchengladbach","20.882","355.000"
"1970/71","9","Borussia Dortmund","19.411","330.000"
"1970/71","10","VfB Stuttgart","18.911","321.500"
"1970/71","11","Eintracht Braunschweig","18.782","319.300"
"1970/71","12","1. FC Köln","18.705","318.000"
"1970/71","13","SV Werder Bremen","18.294","311.000"
"1970/71","14","Kickers Offenbach","18.117","308.000"
"1970/71","15","1.FC Kaiserslautern","17.764","302.000"
"1970/71","16","Rot-Weiß Oberhausen","17.382","295.500"
"1970/71","17","Hamburger SV","17.117","291.000"
"1970/71","18","MSV Duisburg","16.882","287.000"
"1971/72","1","FC Schalke 04","28.382","482.500"
"1971/72","2","FC Bayern München","27.764","472.000"
"1971/72","3","Hertha BSC","24.852","422.500"
"1971/72","4","Eintracht Frankfurt","20.894","355.200"
"1971/72","5","VfB Stuttgart","20.794","353.500"
"1971/72","6","SV Werder Bremen","19.588","333.000"
"1971/72","7","VfL Bochum","18.647","317.000"
"1971/72","8","Hannover 96","18.535","315.100"
"1971/72","9","Borussia Dortmund","18.294","311.000"
"1971/72","10","Arminia Bielefeld","17.452","296.700"
"1971/72","11","1.FC Kaiserslautern","17.058","290.000"
"1971/72","12","Hamburger SV","17.041","289.700"
"1971/72","13","Borussia Mönchengladbach","16.529","281.000"
"1971/72","14","MSV Duisburg","15.752","267.800"
"1971/72","15","Fortuna Düsseldorf","15.529","264.000"
"1971/72","16","1. FC Köln","15.111","256.900"
"1971/72","17","Eintracht Braunschweig","12.156","206.664"
"1971/72","18","Rot-Weiß Oberhausen","12.047","204.800"
"1972/73","1","FC Bayern München","33.294","566.000"
"1972/73","2","Fortuna Düsseldorf","26.400","448.800"
"1972/73","3","Hertha BSC","23.288","395.900"
"1972/73","4","FC Schalke 04","21.441","364.500"
"1972/73","5","Wuppertal","20.717","352.200"
"1972/73","6","Hamburger SV","18.294","311.000"
"1972/73","7","Kickers Offenbach","18.058","307.000"
"1972/73","8","Hannover 96","17.179","292.050"
"1972/73","9","VfL Bochum","16.411","279.000"
"1972/73","10","MSV Duisburg","15.470","263.000"
"1972/73","11","SV Werder Bremen","15.264","259.500"
"1972/73","12","Borussia Mönchengladbach","15.188","258.200"
"1972/73","13","Eintracht Frankfurt","13.911","236.500"
"1972/73","14","VfB Stuttgart","13.811","234.800"
"1972/73","15","Eintracht Braunschweig","13.218","224.718"
"1972/73","16","1. FC Köln","12.941","220.000"
"1972/73","17","1.FC Kaiserslautern","12.941","220.000"
"1972/73","18","Rot-Weiß Oberhausen","6.752","114.800"
"1973/74","1","FC Schalke 04","43.735","743.500"
"1973/74","2","FC Bayern München","37.000","629.000"
"1973/74","3","Hertha BSC","27.794","472.500"
"1973/74","4","VfB Stuttgart","26.641","452.900"
"1973/74","5","Eintracht Frankfurt","25.411","432.000"
"1973/74","6","Hamburger SV","24.117","410.000"
"1973/74","7","Fortuna Düsseldorf","24.000","408.000"
"1973/74","8","Borussia Mönchengladbach","22.323","379.500"
"1973/74","9","Hannover 96","20.411","347.000"
"1973/74","10","MSV Duisburg","19.617","333.500"
"1973/74","11","1.FC Kaiserslautern","18.058","307.000"
"1973/74","12","VfL Bochum","17.882","304.000"
"1973/74","13","1. FC Köln","17.294","294.000"
"1973/74","14","Rot-Weiss Essen","16.623","282.600"
"1973/74","15","Wuppertal","15.970","271.500"
"1973/74","16","SV Werder Bremen","15.588","265.000"
"1973/74","17","Kickers Offenbach","14.852","252.500"
"1973/74","18","1. FC Köln","13.382","227.500"
"1974/75","1","FC Schalke 04","39.517","671.800"
"1974/75","2","FC Bayern München","36.411","619.000"
"1974/75","3","Hertha BSC","36.400","618.800"
"1974/75","4","Hamburger SV","31.941","543.000"
"1974/75","5","VfB Stuttgart","27.070","460.200"
"1974/75","6","Eintracht Frankfurt","23.788","404.400"
"1974/75","7","Kickers Offenbach","22.411","381.000"
"1974/75","8","Fortuna Düsseldorf","22.235","378.000"
"1974/75","9","Borussia Mönchengladbach","21.641","367.900"
"1974/75","10","Eintracht Braunschweig","21.235","361.000"
"1974/75","11","1.FC Kaiserslautern","19.823","337.000"
"1974/75","12","SV Werder Bremen","18.764","319.000"
"1974/75","13","1. FC Köln","18.500","314.500"
"1974/75","14","VfL Bochum","17.635","299.800"
"1974/75","15","MSV Duisburg","16.588","282.000"
"1974/75","16","Rot-Weiss Essen","14.469","245.977"
"1974/75","17","TB Berlin","10.594","180.100"
"1974/75","18","Wuppertal","9.164","155.800"
"1975/76","1","FC Schalke 04","34.194","581.300"
"1975/76","2","FC Bayern München","32.911","559.500"
"1975/76","3","Karlsruher SC","32.235","548.000"
"1975/76","4","Hamburger SV","32.141","546.400"
"1975/76","5","Hannover 96","28.311","481.300"
"1975/76","6","1. FC Köln","25.712","437.118"
"1975/76","7","Borussia Mönchengladbach","23.582","400.900"
"1975/76","8","Eintracht Braunschweig","22.935","389.900"
"1975/76","9","Hertha BSC","22.205","377.500"
"1975/76","10","Eintracht Frankfurt","21.529","366.000"
"1975/76","11","SV Werder Bremen","20.882","355.000"
"1975/76","12","1.FC Kaiserslautern","20.478","348.142"
"1975/76","13","VfL Bochum","20.126","342.150"
"1975/76","14","Kickers Offenbach","19.117","325.000"
"1975/76","15","Fortuna Düsseldorf","18.441","313.500"
"1975/76","16","Rot-Weiss Essen","15.629","265.700"
"1975/76","17","Bayer 05 Uerdingen","14.288","242.900"
"1975/76","18","MSV Duisburg","14.117","240.000"
"1976/77","1","Borussia Dortmund","43.217","734.700"
"1976/77","2","FC Schalke 04","37.670","640.400"
"1976/77","3","Hamburger SV","34.705","590.000"
"1976/77","4","1. FC Köln","32.305","549.188"
"1976/77","5","FC Bayern München","31.608","537.350"
"1976/77","6","Karlsruher SC","29.235","497.000"
"1976/77","7","1. FC Saarbrücken","28.794","489.500"
"1976/77","8","Hertha BSC","25.190","428.243"
"1976/77","9","Borussia Mönchengladbach","25.082","426.400"
"1976/77","10","Eintracht Frankfurt","24.000","408.000"
"1976/77","11","Eintracht Braunschweig","21.764","370.000"
"1976/77","12","1.FC Kaiserslautern","20.705","352.000"
"1976/77","13","MSV Duisburg","20.588","350.000"
"1976/77","14","Fortuna Düsseldorf","20.470","348.000"
"1976/77","15","SV Werder Bremen","18.970","322.500"
"1976/77","16","TB Berlin","16.967","288.454"
"1976/77","17","VfL Bochum","16.041","272.700"
"1976/77","18","Rot-Weiss Essen","12.874","218.860"
"1977/78","1","VfB Stuttgart","55.823","949.000"
"1977/78","2","Borussia Dortmund","37.891","644.157"
"1977/78","3","FC Schalke 04","35.411","602.000"
"1977/78","4","1. FC Köln","35.058","596.000"
"1977/78","5","Hamburger SV","31.352","533.000"
"1977/78","6","FC Bayern München","30.885","525.059"
"1977/78","7","TSV 1860 München","28.321","481.469"
"1977/78","8","Borussia Mönchengladbach","26.023","442.400"
"1977/78","9","Eintracht Frankfurt","25.970","441.500"
"1977/78","10","Hertha BSC","24.832","422.145"
"1977/78","11","1.FC Kaiserslautern","24.117","410.000"
"1977/78","12","VfL Bochum","23.970","407.500"
"1977/78","13","1. FC Saarbrücken","23.617","401.500"
"1977/78","14","Fortuna Düsseldorf","22.417","381.100"
"1977/78","15","SV Werder Bremen","19.882","338.000"
"1977/78","16","Eintracht Braunschweig","19.058","324.000"
"1977/78","17","MSV Duisburg","18.647","317.000"
"1977/78","18","FC St. Pauli","13.747","233.700"
"1978/79","1","Hamburger SV","42.417","721.100"
"1978/79","2","VfB Stuttgart","40.647","691.000"
"1978/79","3","FC Schalke 04","34.258","582.400"
"1978/79","4","FC Bayern München","34.110","579.873"
"1978/79","5","1. FC Nürnberg","33.447","568.600"
"1978/79","6","Borussia Dortmund","29.046","493.783"
"1978/79","7","1.FC Kaiserslautern","26.980","458.661"
"1978/79","8","Arminia Bielefeld","26.329","447.600"
"1978/79","9","VfL Bochum","26.000","442.000"
"1978/79","10","Eintracht Frankfurt","25.764","438.000"
"1978/79","11","1. FC Köln","22.705","386.000"
"1978/79","12","Borussia Mönchengladbach","19.910","338.478"
"1978/79","13","Fortuna Düsseldorf","18.817","319.900"
"1978/79","14","Eintracht Braunschweig","17.871","303.822"
"1978/79","15","SV Werder Bremen","17.529","298.000"
"1978/79","16","SV Darmstadt 98","17.529","298.000"
"1978/79","17","Hertha BSC","16.722","284.277"
"1978/79","18","MSV Duisburg","15.823","269.000"
"1979/80","1","FC Bayern München","39.638","673.850"
"1979/80","2","Hamburger SV","37.782","642.300"
"1979/80","3","Borussia Dortmund","34.584","587.932"
"1979/80","4","VfB Stuttgart","34.205","581.500"
"1979/80","5","TSV 1860 München","29.735","505.500"
"1979/80","6","1. FC Köln","27.411","466.000"
"1979/80","7","FC Schalke 04","26.264","446.500"
"1979/80","8","1.FC Kaiserslautern","24.495","416.427"
"1979/80","9","Eintracht Frankfurt","23.117","393.000"
"1979/80","10","Hertha BSC","22.896","389.236"
"1979/80","11","VfL Bochum","21.470","365.000"
"1979/80","12","Fortuna Düsseldorf","20.541","349.200"
"1979/80","13","Borussia Mönchengladbach","17.666","300.331"
"1979/80","14","SV Werder Bremen","17.647","300.000"
"1979/80","15","MSV Duisburg","16.882","287.000"
"1979/80","16","Bayer 05 Uerdingen","14.470","246.000"
"1979/80","17","Eintracht Braunschweig","14.186","241.166"
"1979/80","18","Bayer 04 Leverkusen","13.941","237.000"
"1980/81","1","FC Bayern München","36.411","619.000"
"1980/81","2","Borussia Dortmund","34.394","584.700"
"1980/81","3","Hamburger SV","32.849","558.448"
"1980/81","4","VfB Stuttgart","31.741","539.600"
"1980/81","5","1. FC Nürnberg","30.911","525.500"
"1980/81","6","FC Schalke 04","28.505","484.600"
"1980/81","7","Karlsruher SC","27.470","467.000"
"1980/81","8","TSV 1860 München","24.294","413.000"
"1980/81","9","1.FC Kaiserslautern","23.654","402.131"
"1980/81","10","Arminia Bielefeld","22.970","390.500"
"1980/81","11","VfL Bochum","22.050","374.853"
"1980/81","12","Eintracht Frankfurt","21.441","364.500"
"1980/81","13","1. FC Köln","19.764","336.000"
"1980/81","14","Fortuna Düsseldorf","18.400","312.800"
"1980/81","15","Borussia Mönchengladbach","18.392","312.665"
"1980/81","16","MSV Duisburg","16.941","288.000"
"1980/81","17","Bayer 04 Leverkusen","11.705","199.000"
"1980/81","18","Bayer 05 Uerdingen","11.282","191.800"
"1981/82","1","Hamburger SV","34.700","589.900"
"1981/82","2","FC Bayern München","33.372","567.324"
"1981/82","3","Borussia Dortmund","28.705","488.000"
"1981/82","4","VfB Stuttgart","26.164","444.800"
"1981/82","5","1. FC Köln","25.147","427.500"
"1981/82","6","SV Werder Bremen","24.235","412.000"
"1981/82","7","1. FC Nürnberg","23.117","393.000"
"1981/82","8","Karlsruher SC","23.058","392.000"
"1981/82","9","1.FC Kaiserslautern","21.333","362.661"
"1981/82","10","Eintracht Frankfurt","21.147","359.500"
"1981/82","11","Arminia Bielefeld","21.135","359.300"
"1981/82","12","Borussia Mönchengladbach","20.611","350.392"
"1981/82","13","Eintracht Braunschweig","20.551","349.380"
"1981/82","14","VfL Bochum","17.823","303.000"
"1981/82","15","Fortuna Düsseldorf","15.529","264.000"
"1981/82","16","SV Darmstadt 98","14.647","249.000"
"1981/82","17","MSV Duisburg","12.911","219.500"
"1981/82","18","Bayer 04 Leverkusen","9.594","163.100"
"1982/83","1","FC Bayern München","31.294","532.000"
"1982/83","2","Hamburger SV","28.441","483.500"
"1982/83","3","FC Schalke 04","28.147","478.500"
"1982/83","4","VfB Stuttgart","27.617","469.500"
"1982/83","5","Borussia Dortmund","27.264","463.500"
"1982/83","6","SV Werder Bremen","25.988","441.800"
"1982/83","7","Hertha BSC","22.593","384.085"
"1982/83","8","Eintracht Frankfurt","21.817","370.900"
"1982/83","9","1.FC Kaiserslautern","21.536","366.117"
"1982/83","10","Arminia Bielefeld","20.411","347.000"
"1982/83","11","1. FC Nürnberg","19.882","338.000"
"1982/83","12","1. FC Köln","18.235","310.000"
"1982/83","13","Karlsruher SC","17.794","302.500"
"1982/83","14","Borussia Mönchengladbach","16.359","278.108"
"1982/83","15","Eintracht Braunschweig","15.882","270.000"
"1982/83","16","VfL Bochum","15.823","269.000"
"1982/83","17","Fortuna Düsseldorf","13.049","221.842"
"1982/83","18","Bayer 04 Leverkusen","9.088","154.500"
"1983/84","1","VfB Stuttgart","31.793","540.496"
"1983/84","2","FC Bayern München","30.911","525.500"
"1983/84","3","Hamburger SV","28.298","481.078"
"1983/84","4","Mannheim","26.235","446.000"
"1983/84","5","SV Werder Bremen","22.864","388.700"
"1983/84","6","Eintracht Frankfurt","22.852","388.500"
"1983/84","7","Borussia Dortmund","22.058","375.000"
"1983/84","8","Fortuna Düsseldorf","20.641","350.900"
"1983/84","9","Borussia Mönchengladbach","20.324","345.522"
"1983/84","10","1.FC Kaiserslautern","19.117","325.004"
"1983/84","11","VfL Bochum","19.117","325.000"
"1983/84","12","1. FC Köln","17.352","295.000"
"1983/84","13","Bayer 05 Uerdingen","16.352","278.000"
"1983/84","14","1. FC Nürnberg","15.994","271.900"
"1983/84","15","Eintracht Braunschweig","15.833","269.167"
"1983/84","16","Arminia Bielefeld","15.441","262.500"
"1983/84","17","Kickers Offenbach","14.711","250.100"
"1983/84","18","Bayer 04 Leverkusen","11.505","195.600"
"1984/85","1","FC Bayern München","32.764","557.000"
"1984/85","2","FC Schalke 04","28.252","480.300"
"1984/85","3","Borussia Dortmund","26.029","442.500"
"1984/85","4","Eintracht Frankfurt","23.676","402.500"
"1984/85","5","VfL Bochum","23.000","391.000"
"1984/85","6","VfB Stuttgart","22.941","390.000"
"1984/85","7","SV Werder Bremen","21.958","373.300"
"1984/85","8","Hamburger SV","21.954","373.218"
"1984/85","9","Mannheim","19.323","328.500"
"1984/85","10","Borussia Mönchengladbach","18.945","322.065"
"1984/85","11","Karlsruher SC","18.617","316.500"
"1984/85","12","1. FC Köln","18.058","307.000"
"1984/85","13","1.FC Kaiserslautern","17.030","289.513"
"1984/85","14","Bayer 05 Uerdingen","14.294","243.000"
"1984/85","15","Arminia Bielefeld","14.205","241.500"
"1984/85","16","Eintracht Braunschweig","13.846","235.383"
"1984/85","17","Fortuna Düsseldorf","12.500","212.500"
"1984/85","18","Bayer 04 Leverkusen","9.658","164.200"
"1985/86","1","1. FC Nürnberg","28.764","489.000"
"1985/86","2","FC Bayern München","27.264","463.500"
"1985/86","3","Hannover 96","25.496","433.448"
"1985/86","4","SV Werder Bremen","24.756","420.859"
"1985/86","5","Borussia Dortmund","24.235","412.000"
"1985/86","6","VfB Stuttgart","21.758","369.900"
"1985/86","7","FC Schalke 04","19.008","323.140"
"1985/86","8","Hamburger SV","18.435","313.400"
"1985/86","9","1.FC Kaiserslautern","16.536","281.112"
"1985/86","10","Eintracht Frankfurt","16.470","280.000"
"1985/86","11","Borussia Mönchengladbach","16.294","277.000"
"1985/86","12","1. FC Saarbrücken","15.941","271.000"
"1985/86","13","Mannheim","15.447","262.600"
"1985/86","14","VfL Bochum","14.764","251.000"
"1985/86","15","1. FC Köln","13.615","231.459"
"1985/86","16","Bayer 05 Uerdingen","11.823","201.000"
"1985/86","17","Fortuna Düsseldorf","10.311","175.300"
