id,spieltag,saison,heim,gast,tore_heim,tore_gast
11876,34,2001/02,FC Bayern München,FC Hansa Rostock,3,2
11877,1,2002/03,Borussia Dortmund,Hertha BSC,2,2
11878,1,2002/03,Energie Cottbus,Bayer 04 Leverkusen,1,1
11879,1,2002/03,1. FC Nürnberg,VfL Bochum,1,3
11880,1,2002/03,Borussia Mönchengladbach,FC Bayern München,0,0
11881,1,2002/03,FC Schalke 04,VfL Wolfsburg,1,0
11882,1,2002/03,VfB Stuttgart,1.FC Kaiserslautern,1,1
11883,1,2002/03,Hamburger SV,Hannover 96,2,1
11884,1,2002/03,Arminia Bielefeld,SV Werder Bremen,3,0
11885,1,2002/03,TSV 1860 München,FC Hansa Rostock,0,2
11886,2,2002/03,Hertha BSC,VfB Stuttgart,1,1
11887,2,2002/03,FC Bayern München,Arminia Bielefeld,6,2
11888,2,2002/03,Hannover 96,TSV 1860 München,1,3
11889,2,2002/03,FC Hansa Rostock,1. FC Nürnberg,2,0
11890,2,2002/03,VfL Bochum,Energie Cottbus,5,0
11891,2,2002/03,Bayer 04 Leverkusen,Borussia Dortmund,1,1
11892,2,2002/03,1.FC Kaiserslautern,FC Schalke 04,1,3
11893,2,2002/03,VfL Wolfsburg,Borussia Mönchengladbach,1,0
11894,2,2002/03,SV Werder Bremen,Hamburger SV,2,1
11895,3,2002/03,Energie Cottbus,FC Hansa Rostock,0,4
11896,3,2002/03,TSV 1860 München,SV Werder Bremen,3,0
11897,3,2002/03,Hamburger SV,FC Bayern München,0,3
11898,3,2002/03,Arminia Bielefeld,VfL Wolfsburg,1,0
11899,3,2002/03,Borussia Mönchengladbach,1.FC Kaiserslautern,3,0
11900,3,2002/03,Bayer 04 Leverkusen,VfL Bochum,2,4
11901,3,2002/03,Borussia Dortmund,VfB Stuttgart,3,1
11902,3,2002/03,1. FC Nürnberg,Hannover 96,3,1
11903,3,2002/03,FC Schalke 04,Hertha BSC,0,0
11904,4,2002/03,Hertha BSC,Borussia Mönchengladbach,1,2
11905,4,2002/03,FC Bayern München,TSV 1860 München,3,1
11906,4,2002/03,SV Werder Bremen,1. FC Nürnberg,4,1
11907,4,2002/03,VfL Bochum,Borussia Dortmund,0,0
11908,4,2002/03,VfL Wolfsburg,Hamburger SV,2,1
11909,4,2002/03,Hannover 96,Energie Cottbus,1,3
11910,4,2002/03,FC Hansa Rostock,Bayer 04 Leverkusen,1,3
11911,4,2002/03,VfB Stuttgart,FC Schalke 04,1,1
11912,4,2002/03,1.FC Kaiserslautern,Arminia Bielefeld,1,1
11913,5,2002/03,Energie Cottbus,SV Werder Bremen,0,1
11914,5,2002/03,1. FC Nürnberg,FC Bayern München,1,2
11915,5,2002/03,TSV 1860 München,VfL Wolfsburg,2,2
11916,5,2002/03,Arminia Bielefeld,Hertha BSC,0,1
11917,5,2002/03,Borussia Mönchengladbach,VfB Stuttgart,1,1
11918,5,2002/03,Bayer 04 Leverkusen,Hannover 96,1,3
11919,5,2002/03,Borussia Dortmund,FC Schalke 04,1,1
11920,5,2002/03,Hamburger SV,1.FC Kaiserslautern,2,0
11921,5,2002/03,VfL Bochum,FC Hansa Rostock,0,1
11922,6,2002/03,Hertha BSC,Hamburger SV,2,0
11923,6,2002/03,VfL Wolfsburg,1. FC Nürnberg,0,2
11924,6,2002/03,FC Bayern München,Energie Cottbus,3,1
11925,6,2002/03,SV Werder Bremen,Bayer 04 Leverkusen,3,2
11926,6,2002/03,Hannover 96,VfL Bochum,2,2
11927,6,2002/03,FC Hansa Rostock,Borussia Dortmund,0,1
11928,6,2002/03,1.FC Kaiserslautern,TSV 1860 München,0,0
11929,6,2002/03,FC Schalke 04,Borussia Mönchengladbach,2,1
11930,6,2002/03,VfB Stuttgart,Arminia Bielefeld,3,0
11931,7,2002/03,Energie Cottbus,VfL Wolfsburg,0,1
11932,7,2002/03,TSV 1860 München,Hertha BSC,1,0
11933,7,2002/03,Hamburger SV,VfB Stuttgart,3,2
11934,7,2002/03,Arminia Bielefeld,FC Schalke 04,2,1
11935,7,2002/03,FC Hansa Rostock,Hannover 96,1,2
11936,7,2002/03,Bayer 04 Leverkusen,FC Bayern München,2,1
11937,7,2002/03,Borussia Dortmund,Borussia Mönchengladbach,1,0
11938,7,2002/03,1. FC Nürnberg,1.FC Kaiserslautern,1,0
11939,7,2002/03,VfL Bochum,SV Werder Bremen,1,4
11940,8,2002/03,Hertha BSC,1. FC Nürnberg,2,1
11941,8,2002/03,VfL Wolfsburg,Bayer 04 Leverkusen,2,0
11942,8,2002/03,FC Bayern München,VfL Bochum,4,1
11943,8,2002/03,Hannover 96,Borussia Dortmund,0,3
11944,8,2002/03,Borussia Mönchengladbach,Arminia Bielefeld,3,0
11945,8,2002/03,FC Schalke 04,Hamburger SV,3,0
11946,8,2002/03,1.FC Kaiserslautern,Energie Cottbus,4,0
11947,8,2002/03,SV Werder Bremen,FC Hansa Rostock,0,0
11948,8,2002/03,VfB Stuttgart,TSV 1860 München,4,1
11949,9,2002/03,Energie Cottbus,Hertha BSC,0,2
11950,9,2002/03,TSV 1860 München,FC Schalke 04,3,0
11951,9,2002/03,Hamburger SV,Borussia Mönchengladbach,1,0
11952,9,2002/03,Hannover 96,SV Werder Bremen,4,4
11953,9,2002/03,FC Hansa Rostock,FC Bayern München,0,1
11954,9,2002/03,Bayer 04 Leverkusen,1.FC Kaiserslautern,1,0
11955,9,2002/03,Borussia Dortmund,Arminia Bielefeld,0,0
11956,9,2002/03,1. FC Nürnberg,VfB Stuttgart,1,2
11957,9,2002/03,VfL Bochum,VfL Wolfsburg,4,2
11958,10,2002/03,Hertha BSC,Bayer 04 Leverkusen,1,1
11959,10,2002/03,FC Bayern München,Hannover 96,3,3
11960,10,2002/03,SV Werder Bremen,Borussia Dortmund,1,4
11961,10,2002/03,Arminia Bielefeld,Hamburger SV,2,1
11962,10,2002/03,Borussia Mönchengladbach,TSV 1860 München,0,1
11963,10,2002/03,FC Schalke 04,1. FC Nürnberg,1,1
11964,10,2002/03,VfB Stuttgart,Energie Cottbus,0,0
11965,10,2002/03,VfL Wolfsburg,FC Hansa Rostock,1,0
11966,10,2002/03,1.FC Kaiserslautern,VfL Bochum,0,2
11967,11,2002/03,Energie Cottbus,FC Schalke 04,0,1
11968,11,2002/03,1. FC Nürnberg,Borussia Mönchengladbach,2,1
11969,11,2002/03,TSV 1860 München,Arminia Bielefeld,3,1
11970,11,2002/03,Hannover 96,VfL Wolfsburg,3,1
11971,11,2002/03,FC Hansa Rostock,1.FC Kaiserslautern,2,2
11972,11,2002/03,Bayer 04 Leverkusen,VfB Stuttgart,0,1
11973,11,2002/03,Borussia Dortmund,Hamburger SV,1,1
11974,11,2002/03,SV Werder Bremen,FC Bayern München,2,0
11975,11,2002/03,VfL Bochum,Hertha BSC,3,0
11976,12,2002/03,VfL Wolfsburg,SV Werder Bremen,3,1
11977,12,2002/03,FC Bayern München,Borussia Dortmund,2,1
11978,12,2002/03,Hamburger SV,TSV 1860 München,1,0
11979,12,2002/03,Arminia Bielefeld,1. FC Nürnberg,0,1
11980,12,2002/03,FC Schalke 04,Bayer 04 Leverkusen,0,1
11981,12,2002/03,VfB Stuttgart,VfL Bochum,3,2
11982,12,2002/03,1.FC Kaiserslautern,Hannover 96,0,1
11983,12,2002/03,Hertha BSC,FC Hansa Rostock,3,1
11984,12,2002/03,Borussia Mönchengladbach,Energie Cottbus,3,0
11985,13,2002/03,Energie Cottbus,Arminia Bielefeld,2,1
11986,13,2002/03,1. FC Nürnberg,Hamburger SV,1,3
11987,13,2002/03,FC Bayern München,VfL Wolfsburg,1,0
11988,13,2002/03,Hannover 96,Hertha BSC,0,1
11989,13,2002/03,FC Hansa Rostock,VfB Stuttgart,1,1
11990,13,2002/03,Bayer 04 Leverkusen,Borussia Mönchengladbach,2,2
11991,13,2002/03,Borussia Dortmund,TSV 1860 München,1,0
11992,13,2002/03,SV Werder Bremen,1.FC Kaiserslautern,5,3
11993,13,2002/03,VfL Bochum,FC Schalke 04,0,2
11994,14,2002/03,Hertha BSC,SV Werder Bremen,0,1
11995,14,2002/03,VfL Wolfsburg,Borussia Dortmund,2,0
11996,14,2002/03,Arminia Bielefeld,Bayer 04 Leverkusen,2,2
11997,14,2002/03,Borussia Mönchengladbach,VfL Bochum,2,2
11998,14,2002/03,FC Schalke 04,FC Hansa Rostock,2,2
11999,14,2002/03,VfB Stuttgart,Hannover 96,3,0
12000,14,2002/03,1.FC Kaiserslautern,FC Bayern München,0,2
12001,14,2002/03,TSV 1860 München,1. FC Nürnberg,2,2
12002,14,2002/03,Hamburger SV,Energie Cottbus,1,1
12003,15,2002/03,Energie Cottbus,TSV 1860 München,3,4
12004,15,2002/03,1. FC Nürnberg,Borussia Dortmund,1,2
12005,15,2002/03,FC Bayern München,Hertha BSC,2,0
12006,15,2002/03,FC Hansa Rostock,Borussia Mönchengladbach,3,1
12007,15,2002/03,VfL Bochum,Arminia Bielefeld,0,3
12008,15,2002/03,Bayer 04 Leverkusen,Hamburger SV,2,3
12009,15,2002/03,1.FC Kaiserslautern,VfL Wolfsburg,2,0
12010,15,2002/03,SV Werder Bremen,VfB Stuttgart,3,1
12011,15,2002/03,Hannover 96,FC Schalke 04,0,2
12012,16,2002/03,Hertha BSC,VfL Wolfsburg,2,2
12013,16,2002/03,1. FC Nürnberg,Energie Cottbus,2,2
12014,16,2002/03,TSV 1860 München,Bayer 04 Leverkusen,0,3
12015,16,2002/03,Arminia Bielefeld,FC Hansa Rostock,3,0
12016,16,2002/03,FC Schalke 04,SV Werder Bremen,1,1
12017,16,2002/03,VfB Stuttgart,FC Bayern München,0,3
12018,16,2002/03,Borussia Dortmund,1.FC Kaiserslautern,3,1
12019,16,2002/03,Hamburger SV,VfL Bochum,1,1
12020,16,2002/03,Borussia Mönchengladbach,Hannover 96,1,0
12021,17,2002/03,Energie Cottbus,Borussia Dortmund,0,4
12022,17,2002/03,FC Bayern München,FC Schalke 04,0,0
12023,17,2002/03,SV Werder Bremen,Borussia Mönchengladbach,2,0
12024,17,2002/03,Hannover 96,Arminia Bielefeld,0,0
12025,17,2002/03,FC Hansa Rostock,Hamburger SV,0,0
12026,17,2002/03,VfL Bochum,TSV 1860 München,1,1
12027,17,2002/03,Bayer 04 Leverkusen,1. FC Nürnberg,0,2
12028,17,2002/03,VfL Wolfsburg,VfB Stuttgart,1,2
12029,17,2002/03,1.FC Kaiserslautern,Hertha BSC,2,1
12030,18,2002/03,VfL Bochum,1. FC Nürnberg,2,1
12031,18,2002/03,FC Hansa Rostock,TSV 1860 München,1,4
12032,18,2002/03,Hannover 96,Hamburger SV,2,2
12033,18,2002/03,SV Werder Bremen,Arminia Bielefeld,2,2
12034,18,2002/03,VfL Wolfsburg,FC Schalke 04,1,2
12035,18,2002/03,1.FC Kaiserslautern,VfB Stuttgart,1,2
12036,18,2002/03,Hertha BSC,Borussia Dortmund,2,1
12037,18,2002/03,Bayer 04 Leverkusen,Energie Cottbus,0,3
12038,18,2002/03,FC Bayern München,Borussia Mönchengladbach,3,0
12039,19,2002/03,VfB Stuttgart,Hertha BSC,3,1
12040,19,2002/03,Arminia Bielefeld,FC Bayern München,0,0
12041,19,2002/03,TSV 1860 München,Hannover 96,0,1
12042,19,2002/03,1. FC Nürnberg,FC Hansa Rostock,0,1
12043,19,2002/03,Energie Cottbus,VfL Bochum,2,1
12044,19,2002/03,FC Schalke 04,1.FC Kaiserslautern,2,2
12045,19,2002/03,Hamburger SV,SV Werder Bremen,1,0
12046,19,2002/03,Borussia Dortmund,Bayer 04 Leverkusen,2,0
12047,19,2002/03,Borussia Mönchengladbach,VfL Wolfsburg,2,0
12048,20,2002/03,FC Hansa Rostock,Energie Cottbus,0,0
12049,20,2002/03,Hannover 96,1. FC Nürnberg,4,2
12050,20,2002/03,SV Werder Bremen,TSV 1860 München,1,2
12051,20,2002/03,VfL Wolfsburg,Arminia Bielefeld,2,0
12052,20,2002/03,1.FC Kaiserslautern,Borussia Mönchengladbach,2,0
12053,20,2002/03,Hertha BSC,FC Schalke 04,4,2
12054,20,2002/03,VfL Bochum,Bayer 04 Leverkusen,2,1
12055,20,2002/03,FC Bayern München,Hamburger SV,1,1
12056,20,2002/03,VfB Stuttgart,Borussia Dortmund,1,0
12057,21,2002/03,Hamburger SV,VfL Wolfsburg,2,0
12058,21,2002/03,TSV 1860 München,FC Bayern München,0,5
12059,21,2002/03,1. FC Nürnberg,SV Werder Bremen,1,0
12060,21,2002/03,Bayer 04 Leverkusen,FC Hansa Rostock,1,2
12061,21,2002/03,Borussia Dortmund,VfL Bochum,4,1
12062,21,2002/03,FC Schalke 04,VfB Stuttgart,2,0
12063,21,2002/03,Arminia Bielefeld,1.FC Kaiserslautern,1,1
12064,21,2002/03,Borussia Mönchengladbach,Hertha BSC,0,2
12065,21,2002/03,Energie Cottbus,Hannover 96,3,0
12066,22,2002/03,SV Werder Bremen,Energie Cottbus,0,1
12067,22,2002/03,FC Bayern München,1. FC Nürnberg,2,0
12068,22,2002/03,VfL Wolfsburg,TSV 1860 München,1,1
12069,22,2002/03,1.FC Kaiserslautern,Hamburger SV,2,0
12070,22,2002/03,FC Hansa Rostock,VfL Bochum,1,1
12071,22,2002/03,Hannover 96,Bayer 04 Leverkusen,1,2
12072,22,2002/03,FC Schalke 04,Borussia Dortmund,2,2
12073,22,2002/03,Hertha BSC,Arminia Bielefeld,0,0
12074,22,2002/03,VfB Stuttgart,Borussia Mönchengladbach,4,0
12075,23,2002/03,1. FC Nürnberg,VfL Wolfsburg,1,1
12076,23,2002/03,Energie Cottbus,FC Bayern München,0,2
12077,23,2002/03,Bayer 04 Leverkusen,SV Werder Bremen,3,0
12078,23,2002/03,VfL Bochum,Hannover 96,1,2
12079,23,2002/03,Borussia Dortmund,FC Hansa Rostock,2,0
12080,23,2002/03,Borussia Mönchengladbach,FC Schalke 04,2,2
12081,23,2002/03,TSV 1860 München,1.FC Kaiserslautern,0,0
12082,23,2002/03,Hamburger SV,Hertha BSC,1,0
12083,23,2002/03,Arminia Bielefeld,VfB Stuttgart,0,1
12084,24,2002/03,VfL Wolfsburg,Energie Cottbus,3,2
12085,24,2002/03,Hertha BSC,TSV 1860 München,6,0
12086,24,2002/03,VfB Stuttgart,Hamburger SV,1,1
12087,24,2002/03,FC Schalke 04,Arminia Bielefeld,1,1
12088,24,2002/03,SV Werder Bremen,VfL Bochum,2,0
12089,24,2002/03,FC Bayern München,Bayer 04 Leverkusen,3,0
12090,24,2002/03,Borussia Mönchengladbach,Borussia Dortmund,1,0
12091,24,2002/03,1.FC Kaiserslautern,1. FC Nürnberg,5,0
12092,24,2002/03,Hannover 96,FC Hansa Rostock,3,1
12093,25,2002/03,Bayer 04 Leverkusen,VfL Wolfsburg,1,1
12094,25,2002/03,VfL Bochum,FC Bayern München,1,4
12095,25,2002/03,FC Hansa Rostock,SV Werder Bremen,1,0
12096,25,2002/03,Borussia Dortmund,Hannover 96,2,0
12097,25,2002/03,Arminia Bielefeld,Borussia Mönchengladbach,4,1
12098,25,2002/03,Hamburger SV,FC Schalke 04,3,1
12099,25,2002/03,Energie Cottbus,1.FC Kaiserslautern,1,3
12100,25,2002/03,1. FC Nürnberg,Hertha BSC,0,3
12101,25,2002/03,TSV 1860 München,VfB Stuttgart,0,1
12102,26,2002/03,FC Schalke 04,TSV 1860 München,1,1
12103,26,2002/03,Borussia Mönchengladbach,Hamburger SV,2,0
12104,26,2002/03,SV Werder Bremen,Hannover 96,1,2
12105,26,2002/03,FC Bayern München,FC Hansa Rostock,1,0
12106,26,2002/03,VfL Wolfsburg,VfL Bochum,2,0
12107,26,2002/03,1.FC Kaiserslautern,Bayer 04 Leverkusen,1,0
12108,26,2002/03,Arminia Bielefeld,Borussia Dortmund,0,0
12109,26,2002/03,Hertha BSC,Energie Cottbus,3,1
12110,26,2002/03,VfB Stuttgart,1. FC Nürnberg,0,2
12111,27,2002/03,Bayer 04 Leverkusen,Hertha BSC,4,1
12112,27,2002/03,Hannover 96,FC Bayern München,2,2
12113,27,2002/03,Borussia Dortmund,SV Werder Bremen,1,2
12114,27,2002/03,Hamburger SV,Arminia Bielefeld,1,0
12115,27,2002/03,1. FC Nürnberg,FC Schalke 04,0,0
12116,27,2002/03,Energie Cottbus,VfB Stuttgart,2,3
12117,27,2002/03,VfL Bochum,1.FC Kaiserslautern,1,1
12118,27,2002/03,FC Hansa Rostock,VfL Wolfsburg,1,0
12119,27,2002/03,TSV 1860 München,Borussia Mönchengladbach,2,0
12120,28,2002/03,Borussia Mönchengladbach,1. FC Nürnberg,2,0
12121,28,2002/03,Arminia Bielefeld,TSV 1860 München,2,1
12122,28,2002/03,FC Bayern München,SV Werder Bremen,0,1
12123,28,2002/03,1.FC Kaiserslautern,FC Hansa Rostock,1,0
12124,28,2002/03,Hertha BSC,VfL Bochum,1,0
12125,28,2002/03,VfB Stuttgart,Bayer 04 Leverkusen,3,0
12126,28,2002/03,Hamburger SV,Borussia Dortmund,1,1
12127,28,2002/03,FC Schalke 04,Energie Cottbus,3,0
12128,28,2002/03,VfL Wolfsburg,Hannover 96,1,0
12129,29,2002/03,FC Hansa Rostock,Hertha BSC,0,1
12130,29,2002/03,SV Werder Bremen,VfL Wolfsburg,0,1
12131,29,2002/03,Borussia Dortmund,FC Bayern München,1,0
12132,29,2002/03,TSV 1860 München,Hamburger SV,1,1
12133,29,2002/03,1. FC Nürnberg,Arminia Bielefeld,0,0
12134,29,2002/03,Energie Cottbus,Borussia Mönchengladbach,1,1
12135,29,2002/03,Hannover 96,1.FC Kaiserslautern,2,1
12136,29,2002/03,Bayer 04 Leverkusen,FC Schalke 04,1,3
12137,29,2002/03,VfL Bochum,VfB Stuttgart,3,1
12138,30,2002/03,Hamburger SV,1. FC Nürnberg,4,0
12139,30,2002/03,VfL Wolfsburg,FC Bayern München,0,2
12140,30,2002/03,Hertha BSC,Hannover 96,2,0
12141,30,2002/03,VfB Stuttgart,FC Hansa Rostock,1,1
12142,30,2002/03,FC Schalke 04,VfL Bochum,1,2
12143,30,2002/03,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,2
12144,30,2002/03,TSV 1860 München,Borussia Dortmund,0,0
12145,30,2002/03,Arminia Bielefeld,Energie Cottbus,2,2
12146,30,2002/03,1.FC Kaiserslautern,SV Werder Bremen,1,0
12147,31,2002/03,SV Werder Bremen,Hertha BSC,4,2
12148,31,2002/03,Borussia Dortmund,VfL Wolfsburg,2,2
12149,31,2002/03,1. FC Nürnberg,TSV 1860 München,1,2
12150,31,2002/03,Energie Cottbus,Hamburger SV,0,0
12151,31,2002/03,VfL Bochum,Borussia Mönchengladbach,1,1
12152,31,2002/03,Hannover 96,VfB Stuttgart,1,2
12153,31,2002/03,FC Bayern München,1.FC Kaiserslautern,1,0
12154,31,2002/03,Bayer 04 Leverkusen,Arminia Bielefeld,3,1
12155,31,2002/03,FC Hansa Rostock,FC Schalke 04,3,1
12156,32,2002/03,TSV 1860 München,Energie Cottbus,3,0
12157,32,2002/03,Borussia Dortmund,1. FC Nürnberg,4,1
12158,32,2002/03,Hertha BSC,FC Bayern München,3,6
12159,32,2002/03,VfB Stuttgart,SV Werder Bremen,0,1
12160,32,2002/03,Borussia Mönchengladbach,FC Hansa Rostock,3,0
12161,32,2002/03,Hamburger SV,Bayer 04 Leverkusen,4,1
12162,32,2002/03,VfL Wolfsburg,1.FC Kaiserslautern,2,2
12163,32,2002/03,FC Schalke 04,Hannover 96,0,2
12164,32,2002/03,Arminia Bielefeld,VfL Bochum,1,3
12165,33,2002/03,VfL Wolfsburg,Hertha BSC,2,0
12166,33,2002/03,Energie Cottbus,1. FC Nürnberg,2,1
12167,33,2002/03,Bayer 04 Leverkusen,TSV 1860 München,3,0
12168,33,2002/03,VfL Bochum,Hamburger SV,1,1
12169,33,2002/03,FC Hansa Rostock,Arminia Bielefeld,3,0
12170,33,2002/03,Hannover 96,Borussia Mönchengladbach,2,2
12171,33,2002/03,SV Werder Bremen,FC Schalke 04,2,1
12172,33,2002/03,FC Bayern München,VfB Stuttgart,2,1
12173,33,2002/03,1.FC Kaiserslautern,Borussia Dortmund,0,0
12174,34,2002/03,Borussia Dortmund,Energie Cottbus,1,1
12175,34,2002/03,VfB Stuttgart,VfL Wolfsburg,2,0
12176,34,2002/03,FC Schalke 04,FC Bayern München,1,0
12177,34,2002/03,Borussia Mönchengladbach,SV Werder Bremen,4,1
12178,34,2002/03,Arminia Bielefeld,Hannover 96,0,1
12179,34,2002/03,Hamburger SV,FC Hansa Rostock,2,0
12180,34,2002/03,TSV 1860 München,VfL Bochum,2,4
12181,34,2002/03,1. FC Nürnberg,Bayer 04 Leverkusen,0,1
12182,34,2002/03,Hertha BSC,1.FC Kaiserslautern,2,0
12183,1,2003/04,FC Bayern München,Eintracht Frankfurt,3,1
12184,1,2003/04,VfL Wolfsburg,VfL Bochum,3,2
12185,1,2003/04,1.FC Kaiserslautern,TSV 1860 München,0,1
12186,1,2003/04,Hertha BSC,SV Werder Bremen,0,3
12187,1,2003/04,Bayer 04 Leverkusen,SC Freiburg,4,1
12188,1,2003/04,Hamburger SV,Hannover 96,0,3
12189,1,2003/04,FC Schalke 04,Borussia Dortmund,2,2
12190,1,2003/04,Borussia Mönchengladbach,1. FC Köln,1,0
12191,1,2003/04,FC Hansa Rostock,VfB Stuttgart,0,2
12192,2,2003/04,Hannover 96,FC Bayern München,3,3
12193,2,2003/04,SC Freiburg,FC Hansa Rostock,2,2
12194,2,2003/04,SV Werder Bremen,Borussia Mönchengladbach,1,1
12195,2,2003/04,1. FC Köln,1.FC Kaiserslautern,1,2
12196,2,2003/04,TSV 1860 München,FC Schalke 04,1,1
12197,2,2003/04,Borussia Dortmund,VfL Wolfsburg,4,0
12198,2,2003/04,VfL Bochum,Hamburger SV,1,1
12199,2,2003/04,Eintracht Frankfurt,Bayer 04 Leverkusen,1,2
12200,2,2003/04,VfB Stuttgart,Hertha BSC,0,0
12201,3,2003/04,1.FC Kaiserslautern,SV Werder Bremen,0,1
12202,3,2003/04,Borussia Mönchengladbach,VfB Stuttgart,0,1
12203,3,2003/04,Hertha BSC,SC Freiburg,0,0
12204,3,2003/04,FC Hansa Rostock,Eintracht Frankfurt,3,0
12205,3,2003/04,Bayer 04 Leverkusen,Hannover 96,4,0
12206,3,2003/04,FC Bayern München,VfL Bochum,2,0
12207,3,2003/04,Borussia Dortmund,TSV 1860 München,3,1
12208,3,2003/04,VfL Wolfsburg,Hamburger SV,5,1
12209,3,2003/04,FC Schalke 04,1. FC Köln,2,1
12210,4,2003/04,Eintracht Frankfurt,Hertha BSC,0,0
12211,4,2003/04,SC Freiburg,Borussia Mönchengladbach,4,1
12212,4,2003/04,VfB Stuttgart,1.FC Kaiserslautern,2,0
12213,4,2003/04,SV Werder Bremen,FC Schalke 04,4,1
12214,4,2003/04,1. FC Köln,Borussia Dortmund,1,0
12215,4,2003/04,TSV 1860 München,VfL Wolfsburg,1,0
12216,4,2003/04,VfL Bochum,Bayer 04 Leverkusen,1,0
12217,4,2003/04,Hamburger SV,FC Bayern München,0,2
12218,4,2003/04,Hannover 96,FC Hansa Rostock,3,3
12219,5,2003/04,VfL Wolfsburg,FC Bayern München,3,2
12220,5,2003/04,Hertha BSC,Hannover 96,2,3
12221,5,2003/04,FC Hansa Rostock,VfL Bochum,0,2
12222,5,2003/04,Bayer 04 Leverkusen,Hamburger SV,1,0
12223,5,2003/04,TSV 1860 München,1. FC Köln,2,1
12224,5,2003/04,Borussia Dortmund,SV Werder Bremen,2,1
12225,5,2003/04,FC Schalke 04,VfB Stuttgart,0,0
12226,5,2003/04,1.FC Kaiserslautern,SC Freiburg,2,2
12227,5,2003/04,Borussia Mönchengladbach,Eintracht Frankfurt,0,2
12228,6,2003/04,Hannover 96,Borussia Mönchengladbach,2,0
12229,6,2003/04,SC Freiburg,FC Schalke 04,2,1
12230,6,2003/04,VfB Stuttgart,Borussia Dortmund,1,0
12231,6,2003/04,SV Werder Bremen,TSV 1860 München,2,1
12232,6,2003/04,1. FC Köln,VfL Wolfsburg,2,3
12233,6,2003/04,FC Bayern München,Bayer 04 Leverkusen,3,3
12234,6,2003/04,VfL Bochum,Hertha BSC,2,2
12235,6,2003/04,Eintracht Frankfurt,1.FC Kaiserslautern,1,3
12236,6,2003/04,Hamburger SV,FC Hansa Rostock,2,1
12237,7,2003/04,VfL Wolfsburg,Bayer 04 Leverkusen,0,1
12238,7,2003/04,1.FC Kaiserslautern,Hannover 96,1,0
12239,7,2003/04,Borussia Mönchengladbach,VfL Bochum,2,2
12240,7,2003/04,FC Hansa Rostock,FC Bayern München,1,2
12241,7,2003/04,1. FC Köln,SV Werder Bremen,1,4
12242,7,2003/04,TSV 1860 München,VfB Stuttgart,0,3
12243,7,2003/04,Borussia Dortmund,SC Freiburg,1,0
12244,7,2003/04,Hertha BSC,Hamburger SV,1,1
12245,7,2003/04,FC Schalke 04,Eintracht Frankfurt,1,1
12246,8,2003/04,Hannover 96,FC Schalke 04,1,2
12247,8,2003/04,Eintracht Frankfurt,Borussia Dortmund,0,1
12248,8,2003/04,SC Freiburg,TSV 1860 München,1,0
12249,8,2003/04,VfB Stuttgart,1. FC Köln,0,0
12250,8,2003/04,FC Bayern München,Hertha BSC,4,1
12251,8,2003/04,Hamburger SV,Borussia Mönchengladbach,2,1
12252,8,2003/04,VfL Bochum,1.FC Kaiserslautern,4,0
12253,8,2003/04,SV Werder Bremen,VfL Wolfsburg,5,3
12254,8,2003/04,Bayer 04 Leverkusen,FC Hansa Rostock,3,0
12255,9,2003/04,VfL Wolfsburg,FC Hansa Rostock,3,1
12256,9,2003/04,Borussia Mönchengladbach,FC Bayern München,0,0
12257,9,2003/04,Hertha BSC,Bayer 04 Leverkusen,1,4
12258,9,2003/04,SV Werder Bremen,VfB Stuttgart,1,3
12259,9,2003/04,1. FC Köln,SC Freiburg,1,0
12260,9,2003/04,TSV 1860 München,Eintracht Frankfurt,1,0
12261,9,2003/04,Borussia Dortmund,Hannover 96,6,2
12262,9,2003/04,1.FC Kaiserslautern,Hamburger SV,4,0
12263,9,2003/04,FC Schalke 04,VfL Bochum,0,2
12264,10,2003/04,Hannover 96,TSV 1860 München,1,1
12265,10,2003/04,Eintracht Frankfurt,1. FC Köln,2,0
12266,10,2003/04,SC Freiburg,SV Werder Bremen,2,4
12267,10,2003/04,VfB Stuttgart,VfL Wolfsburg,1,0
12268,10,2003/04,FC Hansa Rostock,Hertha BSC,0,1
12269,10,2003/04,FC Bayern München,1.FC Kaiserslautern,4,1
12270,10,2003/04,Hamburger SV,FC Schalke 04,2,2
12271,10,2003/04,Bayer 04 Leverkusen,Borussia Mönchengladbach,1,0
12272,10,2003/04,VfL Bochum,Borussia Dortmund,3,0
12273,11,2003/04,VfL Wolfsburg,Hertha BSC,3,0
12274,11,2003/04,Borussia Mönchengladbach,FC Hansa Rostock,1,1
12275,11,2003/04,VfB Stuttgart,SC Freiburg,4,1
12276,11,2003/04,SV Werder Bremen,Eintracht Frankfurt,3,1
12277,11,2003/04,1. FC Köln,Hannover 96,1,2
12278,11,2003/04,TSV 1860 München,VfL Bochum,3,1
12279,11,2003/04,FC Schalke 04,FC Bayern München,2,0
12280,11,2003/04,1.FC Kaiserslautern,Bayer 04 Leverkusen,0,0
12281,11,2003/04,Borussia Dortmund,Hamburger SV,3,2
12282,12,2003/04,Hannover 96,SV Werder Bremen,1,5
12283,12,2003/04,Eintracht Frankfurt,VfB Stuttgart,0,2
12284,12,2003/04,SC Freiburg,VfL Wolfsburg,3,2
12285,12,2003/04,Hertha BSC,Borussia Mönchengladbach,2,1
12286,12,2003/04,FC Hansa Rostock,1.FC Kaiserslautern,4,0
